timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-12-05:15-04-04,2025-12-05:15-04-04,2025-12-05:15-04-02,61.183,33.235,86,242,5,st_actOFF,st_washNO
2025-12-05:15-04-06,2025-12-05:15-04-06,2025-12-05:15-04-04,37.281,33.235,85,289,11,st_actOFF,st_washNO
2025-12-05:15-04-08,2025-12-05:15-04-08,2025-12-05:15-04-06,60.707,33.235,83,244,6,st_actOFF,st_washNO
2025-12-05:15-04-10,2025-12-05:15-04-10,2025-12-05:15-04-08,61.727,33.252,76,171,7,st_actOFF,st_washNO
2025-12-05:15-04-12,2025-12-05:15-04-12,2025-12-05:15-04-11,61.727,33.252,83,183,4,st_actOFF,st_washNO
2025-12-05:15-04-14,2025-12-05:15-04-14,2025-12-05:15-04-12,65.11,33.252,87,195,5,st_actOFF,st_washNO
2025-12-05:15-04-16,2025-12-05:15-04-16,2025-12-05:15-04-14,73.491,33.252,80,187,5,st_actOFF,st_washNO
2025-12-05:15-04-18,2025-12-05:15-04-18,2025-12-05:15-04-16,62.356,33.252,84,189,4,st_actOFF,st_washNO
2025-12-05:15-04-20,2025-12-05:15-04-20,2025-12-05:15-04-18,37.502,33.252,87,196,11,st_actOFF,st_washNO
2025-12-05:15-04-22,2025-12-05:15-04-22,2025-12-05:15-04-20,60.265,33.235,79,180,5,st_actOFF,st_washNO
2025-12-05:15-04-24,2025-12-05:15-04-24,2025-12-05:15-04-22,37.876,33.252,83,183,9,st_actOFF,st_washNO
2025-12-05:15-04-26,2025-12-05:15-04-26,2025-12-05:15-04-24,33.014,33.252,90,191,7,st_actOFF,st_washNO
2025-12-05:15-04-28,2025-12-05:15-04-28,2025-12-05:15-04-26,62.764,33.252,79,187,5,st_actOFF,st_washNO
2025-12-05:15-04-30,2025-12-05:15-04-30,2025-12-05:15-04-28,60.537,33.235,84,188,10,st_actOFF,st_washNO
2025-12-05:15-04-32,2025-12-05:15-04-32,2025-12-05:15-04-30,61.659,33.235,86,189,11,st_actOFF,st_washNO
2025-12-05:15-04-34,2025-12-05:15-04-34,2025-12-05:15-04-32,72.386,33.235,86,189,7,st_actOFF,st_washNO
2025-12-05:15-04-36,2025-12-05:15-04-36,2025-12-05:15-04-34,61.829,33.252,87,194,9,st_actOFF,st_washNO
2025-12-05:15-04-38,2025-12-05:15-04-38,2025-12-05:15-04-36,59.262,33.235,81,179,8,st_actOFF,st_washNO
2025-12-05:15-04-41,2025-12-05:15-04-40,2025-12-05:15-04-38,60.69,33.235,85,194,4,st_actOFF,st_washNO
2025-12-05:15-04-43,2025-12-05:15-04-42,2025-12-05:15-04-40,37.264,33.235,82,184,13,st_actOFF,st_washNO
2025-12-05:15-04-45,2025-12-05:15-04-44,2025-12-05:15-04-43,33.286,33.235,80,180,6,st_actOFF,st_washNO
2025-12-05:15-04-47,2025-12-05:15-04-46,2025-12-05:15-04-44,37.536,33.252,82,185,13,st_actOFF,st_washNO
2025-12-05:15-04-49,2025-12-05:15-04-48,2025-12-05:15-04-47,29.41,33.235,86,184,9,st_actOFF,st_washNO
2025-12-05:15-04-51,2025-12-05:15-04-50,2025-12-05:15-04-48,29.665,33.235,82,184,10,st_actOFF,st_washNO
